,Data,DCSI,Balance,MinPts,N_clusters,labels,Noise
0,adult,0.9866987158032703,0.49824999999999997,4,2,[0 1],0.0
1,adult,0.9866987158032703,0.49824999999999997,5,2,[0 1],0.0
2,adult,0.08795729436261983,0.8142403874444208,10,3,[-1  0  1],0.0005
3,adult,0.0091750116108087,0.8649861113418538,15,3,[-1  0  1],0.0005
4,adult,0.08795729436261983,0.8333906776737063,11,3,[-1  0  1],0.0005
5,adult4,0,0.499,4,2,[0 1],0.0
6,adult4,0.09890217005827222,0.8479719862732065,5,3,[-1  0  1],0.0005
7,adult4,0.06772999483042952,0.8525427999110222,10,3,[-1  0  1],0.0005
8,adult4,0.043598913540216805,0.8611537934721245,15,3,[-1  0  1],0.0005
9,adult4,0.05994840190947185,0.8614247236750905,11,3,[-1  0  1],0.0005
10,bank3,0.07055425032066129,0.961022996172108,4,2,[0 1],0.0
11,bank3,0.09099922655521324,0.9648602978941961,5,2,[0 1],0.0
12,bank3,0.16133900413624241,0.9941834833255005,10,2,[0 1],0.0
13,bank3,0.05674661785027246,0.9886612370770677,15,2,[0 1],0.0
14,bank3,0.13572372055454557,0.9795400871576858,7,2,[0 1],0.0
15,communities,0.2027932695969418,0.8533050597108328,4,3,[-1  0  1],0.0005015045135406219
16,communities,0.13249061528389972,0.8407500219985082,5,3,[-1  0  1],0.0005015045135406219
17,communities,0.10147637287233281,0.8476890406896761,10,3,[-1  0  1],0.0005015045135406219
18,communities,0.1460677205287965,0.8594611987205037,15,3,[-1  0  1],0.0005015045135406219
19,communities,0.1532632591759354,0.9185706711814912,135,3,[-1  0  1],0.0005015045135406219
20,diabetes,0.07441405836028506,0.9606180538113777,4,3,[-1  0  1],0.00020004000800160032
21,diabetes,-,-,5,-,-,-
22,diabetes,0.08481413547258095,0.9676908291678752,10,3,[-1  0  1],0.00020004000800160032
23,diabetes,0.10682342552213618,0.9615172262001167,15,3,[-1  0  1],0.00020004000800160032
24,diabetes,0.10682342552213618,0.9615172262001167,15,3,[-1  0  1],0.00020004000800160032
25,adult2,0.9866987158032703,0.49824999999999997,4,2,[0 1],0.0
26,adult2,0.9866987158032703,0.49824999999999997,5,2,[0 1],0.0
27,adult2,0.08795729436261983,0.8142403874444208,10,3,[-1  0  1],0.0005
28,adult2,0.00911914770257169,0.8640104997130302,15,3,[-1  0  1],0.0005
29,adult2,0.08795729436261983,0.8333906776737063,11,3,[-1  0  1],0.0005
30,adult5,0,0.499,4,2,[0 1],0.0
31,adult5,0.09890217005827222,0.8479719862732065,5,3,[-1  0  1],0.0005
32,adult5,0.06772999483042952,0.8523106911720673,10,3,[-1  0  1],0.0005
33,adult5,0.043598913540216805,0.8623317318407882,15,3,[-1  0  1],0.0005
34,adult5,0.043598913540216805,0.8604721788196744,11,3,[-1  0  1],0.0005
35,bank,0.07055425032066129,0.961022996172108,4,2,[0 1],0.0
36,bank,0.09099922655521324,0.9648602978941961,5,2,[0 1],0.0
37,bank,0.16133900413624241,0.9941834833255005,10,2,[0 1],0.0
38,bank,0.05674661785027246,0.9886612370770677,15,2,[0 1],0.0
39,bank,0.13572372055454557,0.9795400871576858,7,2,[0 1],0.0
