,Data,Algorithm,N_cluster,min_pts,DCSI,Balance,ARI,NMI,Noise,ARI_DB,NMI_DB,Actual_clusters
0,compas_sex,GroundTruth,2,20.0,0.0,0.7955415795397823,1.0,1.0,0.0,0.004499891869230646,0.026629680142974323,
1,compas_sex,GroundTruth_DB,3,20.0,0.9808173086073071,0.654071990299068,0.004499891869230646,0.026629680142974323,0.27631578947368424,1.0,1.0,
2,compas_sex,Scalable,2,,0.004856098295114648,0.6275028150793666,0.016539812579479878,0.02346977811021417,0.0,0.06154943532844467,0.07462580051126344,2.0
3,compas_sex,FairDen,2,,0.12628770514246646,0.6043851349909369,0.006454287667764545,0.02631210397758427,0.0006265664160401002,0.7487225966127358,0.6475068497669686,2.0
4,compas_sex,FairSC_normalized,2,,0.0,0.3331386960796733,0.02661537735941994,0.04583151506524712,0.0,0.6732340869219499,0.5062874156407156,2.0
5,compas_sex,FairSC,2,,0.0,0.33333333333333337,0.031258191306610894,0.01486413867571818,0.0,0.035915640166595986,0.20417416934479712,2.0
6,compas_sex,Fairlet_MCF Fairlet,2,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
7,compas_sex,Fairlet_VKC Fairlet,2,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
8,compas_sex,Scalable,4,,0.08199453327397116,0.6984129401160095,0.07352891472304617,0.06621293421770359,0.0,0.01611417948399917,0.1508624554233853,4.0
9,compas_sex,FairDen,4,,0.4160979321829096,0.4531934852570828,-0.009422477760694927,0.02387804042761905,0.0006265664160401002,0.7771857706288396,0.682188412316304,4.0
10,compas_sex,FairSC_normalized,4,,0.25048667078084985,0.12535875730562807,0.02731083216336576,0.03877721983850725,0.0,0.26891185126096684,0.3681354410948851,4.0
11,compas_sex,FairSC,4,,0.06707955041848615,0.1419172932330827,0.03295420172782359,0.032375126303305815,0.0,-0.0241277439517003,0.21931409143400196,4.0
12,compas_sex,Fairlet_MCF Fairlet,4,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
13,compas_sex,Fairlet_VKC Fairlet,4,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
14,compas_sex,Scalable,6,,0.2061175104256636,0.6372884845202192,0.050839468816422595,0.05793919547033483,0.0,0.03123664662597031,0.14871832622199385,6.0
15,compas_sex,FairDen,6,,0.49674169498215154,0.4173737663304715,0.0037750495478878765,0.02492126216833213,0.006265664160401002,0.47159497153949353,0.5741367280137749,6.0
16,compas_sex,FairSC_normalized,6,,0.02296118159218199,0.09102344785614395,0.040446503208760136,0.046138566576486,0.0,0.11168264696332714,0.26047195274687285,6.0
17,compas_sex,FairSC,6,,0.23124181175242317,0.11115701726351673,0.05788215191380068,0.053107388597551805,0.0,0.006342295059821371,0.24447234921270983,6.0
18,compas_sex,Fairlet_MCF Fairlet,6,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
19,compas_sex,Fairlet_VKC Fairlet,6,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
20,compas_sex,Scalable,8,,0.3768838796330639,0.6306479234026509,0.046343830697131334,0.06093731503360706,0.0,0.01755694667794529,0.14965189882554483,8.0
21,compas_sex,FairDen,8,,0.5088059860864158,0.3962660768883887,-0.0007485343024468325,0.022924175151235824,0.006265664160401002,0.4755721392884585,0.5835405464037673,8.0
22,compas_sex,FairSC_normalized,8,,0.29974806803131465,0.07285114847651732,0.028727527886546592,0.041422738275005325,0.0,0.13638437206972878,0.3193642025027305,8.0
23,compas_sex,FairSC,8,,0.43733429064800056,0.07773339598997493,0.048700002089256685,0.04787150789730796,0.0,0.0452057129977013,0.30429058293415057,8.0
24,compas_sex,Fairlet_MCF Fairlet,8,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
25,compas_sex,Fairlet_VKC Fairlet,8,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
26,compas_sex,Scalable,10,,0.3425841430403446,0.5933992123732829,0.03263460610725864,0.05653936777872661,0.0,0.040891768359228094,0.18024154663237346,10.0
27,compas_sex,FairDen,10,,0.5738422625194493,0.4185085841449371,0.0019893161363662773,0.020583642306358993,0.006892230576441102,0.284181474274348,0.5115474185365888,10.0
28,compas_sex,FairSC_normalized,10,,0.33856196439081954,0.019137770904041285,0.029095362742677572,0.045167344909063475,0.0,0.14195379557658788,0.35543407247906117,10.0
29,compas_sex,FairSC,10,,0.32632584183850516,0.019073709757487727,0.05065855127292431,0.05093955869967505,0.0,0.0947720153908276,0.29048898305091947,10.0
30,compas_sex,Fairlet_MCF Fairlet,10,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
31,compas_sex,Fairlet_VKC Fairlet,10,,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
